Year,Obs.Lsk,Base.Lsk,Obs.Pop,Base.Pop
1995,2.03,1.6,53.3,53.3
1996,2.08,1.67,53.94,53.9495
1997,2.27,2.1,54.58,54.52374219
1998,2.58,1.99,55.22,55.02159766
1999,2.9,2.1,55.86,55.44192188
2000,2.99,2.21,56.5,55.78355078
2001,2.86,2.35,56.425,56.04530469
2002,3.03,2.22,56.35,56.22598438
2003,3.25,2.36,56.275,56.324375
2004,3.16,2.54,56.2,56.33924219
2005,3.05,2.24,55.9,56.26933203
2006,3.27,2.26,56,56.11337109
2007,3.42,2.66,56.1,55.95507031
2008,3.09,2.31,56.4,55.79439453
2009,3.22,2.66,56.6,55.63130859
2010,3.37,2.23,56,55.46577734
2011,3.54,2.84,55.6,55.29776563
2012,3.88,2.66,55.1,55.12723047
2013,3.99,2.51,54.9,54.95414063
2014,NA,NA,55,54.84512109
